task_id,task_description,task_category,assigned_employee,task_created_date,deadline_in_days,estimated_effort_hours,employee_current_workload_hours,employee_past_completion_rate
1,setup CI/CD using Python,DevOps,EMP_22,2024-08-21,22,23,52,0.53
2,monitor system using Python,DevOps,EMP_26,2024-08-16,27,11,18,0.64
3,assign tasks using Python,Task Management,EMP_20,2024-10-01,11,32,100,0.84
4,manage cloud using Python,DevOps,EMP_37,2024-10-29,2,23,16,0.92
5,prepare report using Python,Reporting,EMP_1,2024-12-19,7,19,40,0.66
6,analyze metrics using Python,Reporting,EMP_27,2024-11-20,10,10,88,0.8
7,track deadlines using Python,Task Management,EMP_20,2024-04-21,7,22,118,0.54
8,create dashboard using Python,Reporting,EMP_39,2024-10-10,2,5,50,0.95
9,troubleshoot error using Python,Support,EMP_44,2024-09-29,5,16,136,0.62
10,resolve issue using Python,Support,EMP_5,2024-03-14,30,15,105,0.89
11,fix bug using Python,Support,EMP_3,2024-08-03,26,17,107,0.52
12,create dashboard using Python,Reporting,EMP_13,2024-02-02,15,10,100,0.93
13,manage workload using Python,Task Management,EMP_12,2024-01-24,3,3,13,0.72
14,deploy application using Python,DevOps,EMP_50,2024-12-26,26,20,29,0.53
15,apply NLP using Python,Machine Learning,EMP_15,2024-03-23,11,19,125,0.54
16,monitor system using Python,DevOps,EMP_27,2024-02-06,5,6,44,0.53
17,optimize model using Python,Machine Learning,EMP_20,2024-05-06,10,36,13,0.57
18,configure docker using Python,DevOps,EMP_25,2024-08-22,2,24,55,0.83
19,analyze metrics using Python,Reporting,EMP_43,2024-06-18,28,6,116,0.74
20,troubleshoot error using Python,Support,EMP_13,2024-05-21,24,18,108,0.76
21,resolve issue using Python,Support,EMP_38,2024-08-06,25,16,153,0.79
22,analyze metrics using Python,Reporting,EMP_50,2024-09-04,28,3,16,0.59
23,manage cloud using Python,DevOps,EMP_24,2024-03-25,4,2,55,0.71
24,analyze metrics using Python,Reporting,EMP_11,2024-08-26,6,14,10,0.75
25,optimize model using Python,Machine Learning,EMP_17,2024-06-18,8,34,81,0.89
26,monitor system using Python,DevOps,EMP_44,2024-06-17,15,9,105,0.79
27,handle ticket using Python,Support,EMP_23,2024-06-20,6,26,106,0.94
28,optimize query using Python,Data Engineering,EMP_41,2024-09-09,1,30,53,0.9
29,track deadlines using Python,Task Management,EMP_45,2024-06-09,6,21,91,0.92
30,resolve issue using Python,Support,EMP_21,2024-04-28,9,26,88,0.53
31,monitor progress using Python,Task Management,EMP_15,2024-12-25,1,3,103,0.71
32,optimize query using Python,Data Engineering,EMP_14,2024-08-23,8,15,63,0.91
33,monitor system using Python,DevOps,EMP_29,2024-03-16,28,3,74,0.63
34,design warehouse using Python,Data Engineering,EMP_5,2024-12-18,1,34,109,0.85
35,monitor progress using Python,Task Management,EMP_48,2024-08-19,20,11,41,0.91
36,perform feature engineering using Python,Machine Learning,EMP_34,2024-09-27,7,24,160,0.85
37,optimize model using Python,Machine Learning,EMP_20,2024-05-14,19,27,25,0.77
